UNLOCODE,PORT_NAME,LAT,LON
NIPUZ,Puerto Cabezas,14.0167,-83.3833
NISJS,San Juan Del Sur,11.2333,-85.8667
NLAMS,Amsterdam,52.3667,4.9
NLDOR,Dordrecht,51.8167,4.6667
NLDZL,Delfzijl,53.3333,6.9333
NLEEM,Eemshaven,53.45,6.8333
NLGRO,Groningen,53.2167,6.5667
NLLIM,IJmuiden,52.45,4.5833
NLRTM,Rotterdam,51.9167,4.4
NLTNZ,Terneuzen,51.3333,3.8333
NOBOO,Bergen,60.4,5.3167
NODRM,Drammen,59.75,10.2167
NOHAU,Haugesund,59.4167,5.2667
NOHFT,Hammerfest,70.6667,23.6667
NOHRD,Harstad,68.8,16.65
NOKRS,Kristiansand,58.15,8.0
NOLAR,Larvik,59.05,10.0333
NOOSL,Oslo,59.9,10.7167
NOSVG,Stavanger,58.9667,5.7333
NOTRD,Trondheim,63.4167,10.4
NRINU,Nauru Island,0.5333,166.9167
NZAKL,Auckland,36.85,174.75
NZTRG,Tauranga,37.65,176.1833
NZWLG,Wellington,41.2833,174.7833
PACTB,Cristobal,9.35,-79.9167
PAONX,Colon,9.3667,-79.9167
PAVAC,Vacamonte,8.85,-79.6667
PECHM,Chimbote,9.0833,-78.6167
PECLL,Callao,12.05,-77.1667
PEILO,Ilo,17.65,-71.35
PEMRI,Matarani,17.0,-72.1167
PEPAI,Paita,5.0833,-81.2833
PESVY,Salaverry,8.2167,-78.9833
PETVL,Talara,4.5833,-81.2833
PFPPT,Papeete,-17.55,-149.5667
PGKIE,Kieta,6.2167,155.6333
PGLAE,Lae,6.7333,146.9833
PGMAG,Madang,5.2167,145.8167
PGPOM,Port Moresby,9.4833,147.15
PGRAB,Rabaul,4.2,152.1667
PHBTG,Batangas,13.75,121.05
PHCEB,Cebu,10.3,123.8833
PHDVO,Davao,7.1000,125.6333
PHILO,Iloilo,10.6833,122.5667
PHJOL,Jolo,6.0500,121.0000
PHLGP,Legaspi,13.1333,123.7500
PHMNL,Manila,14.5833,120.9667
PHPPS,Princesa,9.3333,118.0000
PHSFE,San Fernando,14.5833,121.0167
PHSFS,Subic Bay,14.8167,120.2833
PHZAM,Zamboanga,6.9167,122.0833
PKBQM,Muhammad Bin Qasim,24.9000,66.9667
PKKHI,Karachi,24.8167,66.9833
PLGDN,Gdansk,54.35,18.65
PLGDY,Gdynia,54.5333,18.5667
PLKOL,Kolobrzeg,54.1833,15.5667
PLSWI,Swinoujscie,53.9167,14.25
PLSZZ,Szczecin,53.4167,14.5333
PLUST,Ustka,54.5833,16.8667
PMFSP,St Pierre,46.7833,-56.1667
PRGUX,Guanica Harbour,17.95,-66.9
PRGUY,Guayanilla,18.0,-66.7667
PRLAM,Las Mareas,17.9167,-66.1667
PRPSE,Ponce,17.9833,-66.6167
PRSJU,San Juan,18.4667,-66.1167
PTAVE,Aveiro,40.65,-8.75
PTLEI,Leixoes,41.1833,-8.7167
PTLIS,Lisbon,38.7,-9.1
PTPRM,Portimao,37.1,-8.5333
PTSET,Setubal,38.5,-8.9167
PTVDC,Viana Do Castelo,41.6833,-8.8
QADOH,Doha,29.3833,47.8
QAHAL,Halul Island,25.6667,52.4167
QARLF,Ras Lafan,25.9333,51.6167
QAUMS,Umm Said (Mesaieed),24.9,51.5667
REPDG,Port Reunion (Pointe des Galets),20.9167,55.2833
ROBRA,Braila,45.25,27.9833
ROCND,Constantza,44.1667,28.65
ROMAG,Mangalia,43.8167,28.5833
ROSUL,Sulina,45.1667,29.6667
RUKHO,Kholmsk,47.05,142.0833
RULED,St Petersburg,59.8833,30.2167
RUMMK,Murmansk,68.95,33.1667
RUNJK,Nakhodka,42.8,132.8833
RUNVG,Novorossiysk,44.7167,37.7833
RUTUA,Tuapse,44.1,39.0667
RUVVO,Vladivostok,43.1667,132.0
RUVYG,Vyborg,60.7,28.7333
SADHU,Dhuba,27.35,35.7
SADMN,Dammam,26.5,50.2
SAGIZ,Gizan,16.9,42.4833
SAJED,Jeddah,21.4667,39.1667
SAJUB,Jubail,27.0667,49.6667
SARAB,Rabigh,22.7333,38.9833
SARAM,Ras al Mishab,28.1,48.6167
SARTA,Ras Tanura,26.65,50.1667
SAYNB,Yanbu,24.0833,38.05
SBHIR,Honiara,9.4167,159.95
SBNOR,Noro,-9.4333,159.9500
SBVIU,Viru Harbour,8.5,157.7167
SBXYA,Yandina,-9.4333,159.9500
